2010-04-23 19:21:41,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York) w/ 2 others. http://4sq.com/8SaZwH
2010-04-24 11:21:48,40.760992,-73.977599,I'm at MoMA - Museum of Modern Art (11 W 53rd St, btw 6th & 5th Ave, New York) w/ 4 others. http://4sq.com/29M4aF
2010-04-24 12:57:43,40.779014,-73.962536,I'm at The Metropolitan Museum of Art (1000 Fifth Avenue, 82nd Street, New York) w/ 8 others. http://4sq.com/1NAZtr
2010-04-25 21:40:07,40.794670,-73.966654,I'm at Whole Foods w/ @dmnyc. http://4sq.com/3ney5Y
2010-04-26 19:17:29,40.771117,-73.969016,I'm at Central Park - East Green (72nd Street, 5th Ave, New York). http://4sq.com/7346bd
2010-04-27 09:18:18,40.782361,-73.968372,I'm at Central Park - Bridal Path (Central Park, at 84th St, New York). http://4sq.com/8HVm7L
2010-04-27 19:02:23,40.773684,-73.966570,I'm at Central Park - Conservatory Water (5th Ave., 70th St., New York). http://4sq.com/dhcCjQ
2010-04-27 19:12:30,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York). http://4sq.com/8SaZwH
2010-04-27 19:24:08,40.784537,-73.973634,I'm at Fres'Co tortillas Grill (100 w. 83rd street, New York). http://4sq.com/7DNRUL
2010-04-28 08:56:13,40.794670,-73.966654,I'm at Whole Foods (808 Columbus Avenue, 97th Street, New York). http://4sq.com/3ney5Y
2010-04-28 09:19:37,40.777454,-73.969874,I'm at Central Park - The Ramble (Central Park, New York). http://4sq.com/6d9JuZ
2010-04-28 09:31:06,40.772449,-73.971548,I'm at Central Park - The Mall (Mall, Mid-Park from 66th to 72nd, New York). http://4sq.com/8XMmwQ
2010-04-28 19:28:36,40.777909,-73.966148,I'm at Cedar Hill (Central Park). http://4sq.com/7NkN36
2010-04-28 19:37:09,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York). http://4sq.com/8SaZwH
2010-04-28 20:13:19,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-04-29 09:36:35,40.776089,-73.973179,I'm at Central Park - The Lake (Central Park, Between 72nd and 77th St., New York). http://4sq.com/8DFZoT
2010-04-29 09:46:40,40.772449,-73.971548,I'm at Central Park - The Mall (Mall, Mid-Park from 66th to 72nd, New York). http://4sq.com/8XMmwQ
2010-04-30 09:43:24,40.764681,-73.973136,I'm at Grand Army Plaza @ Central Park South (768 5th Ave, 5th Ave & 59th Street, New York). http://4sq.com/5QX4Cq
2010-04-30 15:30:26,40.755149,-73.977537,I'm at lindt chocolatier (367 madison avenue, New york). http://4sq.com/4o9yiv
2010-05-02 13:55:55,40.730015,-73.991504,I'm at Starbucks - Astor Place (13-25 Astor Pl, at Lafayette St, New York). http://4sq.com/3fQS8v
2010-05-02 19:21:23,40.734930,-73.991160,I'm at Whole Foods Market (4 Union Square South, btw Broadway & University Pl, New York) w/ 3 others. http://4sq.com/4E0RIC
2010-05-02 19:39:07,40.735844,-73.990452,I'm at Union Square (btw Broadway & Park Ave, btw 14th & 17th St, New York) w/ 9 others. http://4sq.com/3cB3Vf
2010-05-03 19:56:15,40.773684,-73.966570,I'm at Central Park - Conservatory Water (5th Ave., 70th St., New York). http://4sq.com/dhcCjQ
2010-05-03 20:19:25,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York). http://4sq.com/8SaZwH
2010-05-04 19:16:07,40.763857,-73.973039,I'm at Apple Store, Fifth Avenue (767 5th Avenue, btw 58th & 59th, New York) w/ 6 others. http://4sq.com/2GAjpC
2010-05-05 08:46:03,40.782361,-73.968372,I'm at Central Park - Bridal Path (Central Park, at 84th St, New York). http://4sq.com/8HVm7L
2010-05-06 19:12:08,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York) w/ 4 others. http://4sq.com/8SaZwH
2010-05-07 09:24:22,40.772449,-73.971548,I'm at Central Park - The Mall (Mall, Mid-Park from 66th to 72nd, New York). http://4sq.com/8XMmwQ
2010-05-08 08:00:49,40.793887,-73.973017,I'm at New York Sports Club (2527 Broadway, W. 94th, New York). http://4sq.com/86Tu9R
2010-05-09 15:56:13,40.785871,-73.962064,I'm at The Central Park Reservoir (Central Park, btw 85th St and 96th St, New York). http://4sq.com/4Zy4u1
2010-05-09 16:28:05,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-05-10 18:43:34,40.771117,-73.969016,I'm at Central Park - East Green (72nd Street, 5th Ave, New York). http://4sq.com/7346bd
2010-05-10 19:13:31,40.784537,-73.973634,I'm at Fres'Co tortillas Grill (100 w. 83rd street, New York). http://4sq.com/7DNRUL
2010-05-10 19:34:38,40.794670,-73.966654,I'm at Whole Foods Market Upper West Side (808 Columbus Avenue, 97th Street, New York). http://4sq.com/3ney5Y
2010-05-11 09:12:30,40.772449,-73.971548,I'm at Central Park - The Mall (Mall, Mid-Park from 66th to 72nd, New York). http://4sq.com/8XMmwQ
2010-05-11 19:09:11,40.763857,-73.973039,I'm at Apple Store, Fifth Avenue (767 5th Avenue, btw 58th & 59th, New York) w/ 5 others. http://4sq.com/2GAjpC
2010-05-11 20:04:24,40.794670,-73.966654,I'm at Whole Foods Market Upper West Side (808 Columbus Avenue, 97th Street, New York). http://4sq.com/3ney5Y
2010-05-12 19:10:04,40.777454,-73.969874,I'm at Central Park - The Ramble (Central Park, New York). http://4sq.com/6d9JuZ
2010-05-12 19:50:45,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-05-13 09:10:18,40.776089,-73.973179,I'm at Central Park - The Lake (Central Park, Between 72nd and 77th St., New York). http://4sq.com/8DFZoT
2010-05-13 15:59:30,40.753895,-73.977921,I'm at Starbucks (335 Madison Ave, New York). http://4sq.com/6Hg4lX
2010-05-13 19:07:54,40.771117,-73.969016,I'm at Central Park - East Green (72nd Street, 5th Ave, New York). http://4sq.com/7346bd
2010-05-13 19:17:11,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York). http://4sq.com/8SaZwH
2010-05-14 15:11:35,40.753410,-73.977189,I'm at Citibank (200 Park Ave, at MetLife Building, New York). http://4sq.com/aigc3s
2010-05-14 19:06:48,40.771117,-73.969016,I'm at Central Park - East Green (72nd Street, 5th Ave, New York). http://4sq.com/7346bd
2010-05-16 11:19:39,40.791620,-73.978414,I'm at soldiers and sailors memorial (89th and Riverside, New York). http://4sq.com/7sCW0a
2010-05-16 12:09:03,40.765123,-73.997837,I'm at West Side Bike Path w/ 2 others. http://4sq.com/aFcwyS
2010-05-16 13:11:03,40.747800,-74.008100,I'm at Chelsea Piers (Chelsea Piers, New York). http://4sq.com/4BTHnt
2010-05-16 14:01:08,40.746310,-74.003784,I'm at Pier 34 (Hudson River Park, Canal Street, New York). http://4sq.com/bvYfCh
2010-05-16 14:30:33,40.712655,-74.015064,I'm at Winter Garden (200 Vesey Street, West Street, New York). http://4sq.com/6Zkcp2
2010-05-17 19:30:20,40.776089,-73.973179,I'm at Central Park - The Lake (Central Park, Between 72nd and 77th St., New York). http://4sq.com/8DFZoT
2010-05-17 19:42:42,40.784537,-73.973634,I'm at Fres'Co tortillas Grill (100 w. 83rd street, New York). http://4sq.com/7DNRUL
2010-05-18 15:17:24,40.753895,-73.977921,I'm at Starbucks (335 Madison Ave, New York). http://4sq.com/6Hg4lX
2010-05-18 19:46:10,40.794670,-73.966654,I'm at Whole Foods Market Upper West Side (808 Columbus Avenue, 97th Street, New York). http://4sq.com/3ney5Y
2010-05-19 09:11:13,40.782361,-73.968372,I'm at Central Park - Bridal Path (Central Park, at 84th St, New York). http://4sq.com/8HVm7L
2010-05-19 09:43:35,40.764681,-73.973136,I'm at Grand Army Plaza @ Central Park South (768 5th Ave, 5th Ave & 59th Street, New York). http://4sq.com/5QX4Cq
2010-05-19 15:54:22,40.753895,-73.977921,I'm at Starbucks (335 Madison Ave, New York). http://4sq.com/6Hg4lX
2010-05-19 19:07:39,40.774009,-73.972535,I'm at Central Park - The Arcade (Central Park, 72nd St., New York). http://4sq.com/9yvdry
2010-05-19 19:21:30,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York) w/ 3 others. http://4sq.com/8SaZwH
2010-05-19 19:52:31,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-05-20 09:12:07,40.777454,-73.969874,I'm at Central Park - The Ramble (Central Park, New York). http://4sq.com/6d9JuZ
2010-05-20 15:12:48,40.753895,-73.977921,I'm at Starbucks (335 Madison Ave, New York). http://4sq.com/6Hg4lX
2010-05-20 18:39:20,40.759269,-73.974359,I'm at Crumbs (501 Madison Ave, btw 52nd and 53rd, New York). http://4sq.com/1tgO2b
2010-05-20 19:06:02,40.773684,-73.966570,I'm at Central Park - Conservatory Water (5th Ave., 70th St., New York). http://4sq.com/dhcCjQ
